line,datetime,dim,m_dist,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89
132,2021-01-05 20:14:14.182973,3,2.85675,7,4832,4839,4826,4836,0,0,0,0,0,296,238,905,0,0,0,0,0
132,2021-01-05 20:13:23.810571,3,2.97376,7,4832,4839,4826,4836,0,0,0,0,0,292,202,931,0,0,0,0,0
132,2021-01-05 20:12:35.837404,3,2.94287,7,4832,4839,4826,4836,0,0,0,0,0,269,217,923,0,0,0,0,0
132,2021-01-05 20:11:45.568783,3,2.93806,7,4832,4839,4826,4836,0,0,0,0,0,259,214,922,0,0,0,0,0
132,2021-01-05 20:10:54.264791,3,2.95841,7,4832,4839,4826,4836,0,0,0,0,0,252,216,925,0,0,0,0,0
132,2021-01-05 20:10:05.699474,3,2.93,7,4832,4839,4826,4836,0,0,0,0,0,263,212,921,0,0,0,0,0
132,2021-01-05 20:09:15.545611,3,3.08786,7,4832,4839,4826,4836,0,0,0,0,0,264,260,941,0,0,0,0,0
132,2021-01-05 20:14:14.182973,2,2.58213,7,4839,4826,4836,0,0,0,0,0,0,238,905,0,0,0,0,0,0
132,2021-01-05 20:13:23.810571,2,2.69659,7,4839,4826,4836,0,0,0,0,0,0,202,931,0,0,0,0,0,0
132,2021-01-05 20:12:35.837404,2,2.66246,7,4839,4826,4836,0,0,0,0,0,0,217,923,0,0,0,0,0,0
132,2021-01-05 20:11:45.568783,2,2.65596,7,4839,4826,4836,0,0,0,0,0,0,214,922,0,0,0,0,0,0
132,2021-01-05 20:10:54.264791,2,2.67216,7,4839,4826,4836,0,0,0,0,0,0,216,925,0,0,0,0,0,0
132,2021-01-05 20:10:05.699474,2,2.64998,7,4839,4826,4836,0,0,0,0,0,0,212,921,0,0,0,0,0,0
132,2021-01-05 20:09:15.545611,2,2.78459,7,4839,4826,4836,0,0,0,0,0,0,260,941,0,0,0,0,0,0
132,2021-01-05 20:14:14.182973,3,2.85675,7,4832,4839,4826,4836,0,0,0,0,0,296,238,905,0,0,0,0,0
